Sentence,Type
"The missing leg is only the most obvious sign that Strike is damaged goods, a loner wounded by life long before he went overseas.",Visual
"He also wrote to the commandant Coast Guards, identifying obvious vulnerabilities.",Visual
"Three chords are laid down but that's where the obvious territory ends, as within seconds it's all scrunched up and tossed for yet more spiky-assed punk recklessness.",Visual
The benefits of water power plus plentiful labor and building materials would have been obvious to any industrious resident with the requisite funds.,Visual
"We can joke about our differences, because they're obvious and expected.",Visual
"There is an obvious incentive to report such crimes, because most insurance policies require such offences to be reported before compensation is paid.",Visual
The most obvious refinements are the column shafts which taper on a curve rather than a straight line and the stepped platform which the columns sit on as well.,Visual
Thorne's work fills an obvious lacuna in British social history.,Visual
"While there are clusters, which may be due to copycatting, there's no obvious pattern.",Visual
"And in practice, given that the position already has its advocates, it would be shortsighted not to provide at least some rebuttal beyond the obvious technical critiques.",Visual
"In Northern Europe, Greek mythology never took the same hold of the visual arts, but its effect was very obvious on literature.",Visual
But it's obvious no one there has ever done so because such a person wouldn't bellyache about our combat operations.,Visual
And it's also obvious how her incredible figure managed to tame legendary bed-hopper Russell Brand.,Visual
Frequent liaising with councillors over the obvious factor of reducing rates to a reasonable level is vital.,Visual
"The Leyland cypress is the obvious victim, but you can see this, too, with white pines and Norway and blue spruces.",Visual
"Granted the resources of rigidification and the thinkability of any actual object, the scope of general thought seems to have no obvious limits.",Visual
No rhonchi or rales were heard and bronchoscopically no obvious stenosis or obstruction was seen in the trachea or bronchi.,Visual
Show More Sentences,Visual
"Barbecue sauces differ markedly from region to region in the United States, a fact not obvious to many consumers.",Visual
Several posts showed an obvious aggression towards the women he desired.,Visual
One of the best things about the Backbeats is their obvious love of all things Beatle.,Visual
"He had created a kind of cypher, without any obvious hierarchy of order.",Visual
Before the marriage it was already obvious that he was a bit of a crank.,Visual
"The game makes you see less obvious things about them, such as engraved creatures and armorist marks.",Visual
Cora studied her photo and forged signature with obvious wonderment.,Visual
"So even back then, this was an obvious point of concern and contention.",Visual
For obvious reasons the x-axis is called the real axis and the y-axis is called the imaginary axis.,Visual
"Moreover, a large number of neurons lost structural integrity with obvious karyopyknosis and disintegration of nucleoli.",Visual
"After being a part of the orchestral Electric Opus project, JES noted the obvious hunger the dance community has for new experiences.",Visual
"The easy, obvious and superficial answer is that they are all anti-establishment outsiders who share a proclivity for populism.",Visual
As I climbed with the pathetic yowls of a lost kitten ringing in my ears it was immediately obvious that what I'd heard was true.,Visual
Dorothy Livesay is the only obvious exception to this androcentric historical approach.,Visual
He said it was obvious just days in to his job that yobbish behaviour had to be dealt with.,Visual
"Twenty-five years later, of course, canning Jobs seems like obvious folly.",Visual
"Although his letter doesn't mention his profession, it's obvious that he is a doctor with vision beyond allopathic treatment.",Visual
"While partying and pulling all-nighters are obvious culprits, researchers are also blaming the use of phones, tablets and TVs before bed.",Visual
It was obvious to these under 10's that some aspects of the language of the British Isles were as alien as Wollof or Laz.,Visual
Less obvious is the reason for interpreting the skewed age distribution of buyers as a problem.,Visual
Show More Sentences,Visual
"Paula was a wild child! She like to party and have fun, and it was quite obvious that she was looking for a man to party and have fun with her.",Visual
"The warrantlessness of the suit may, in many instances, be so obvious as that malice may be inferred from it.",Visual
On examination there was no obvious swelling or deformity and no anatomical snuffbox tenderness.,Visual
She waffled on for ages. Usually I'd say something smart or make it obvious that I wasn't interested and couldn't be bothered listening.,Visual
"Abbasid caliphs followed the Sassanid and Sasanian influences are obvious in political, social and many affairs of life of Abbasids.",Visual
"Also, there are no obvious differences in the proportion of tewel pieces with attached slag in the two furnace types.",Visual
It is immediately obvious that the surface structure and the side-line channels of the cranial surface are strikingly stegocephalic.,Visual
"The obliviousness of your reply is staggering, or would be, if you weren't such an obvious spergy sociopath to begin with.",Visual
His lack of mastery of the social graces made it obvious he had not been raised in upper-class society.,Visual
"It is obvious that mobile and non-mobile workers don't need the same office solutions, roomwise, or with respect to furniture and technology.",Visual
Two obvious extensions of the Midland Counties line were from Nottingham to Lincoln and from Leicester to Peterborough.,Visual
The local terrain shows obvious evidence of recent glaciation and is covered by thin soil and acidic peat.,Visual
Most obvious is the inclusion of fear and violence which is noticeably absent from other stories in the series.,Visual
"The growth is particularly obvious in Ontario, with a 36 per cent increase in sales for this category of brewery.",Visual
"The most obvious features to recognize a ruffe are the ruffe's large, continuous dorsal fin and its slightly downturned mouth.",Visual
"Lanty Scar provides the obvious line of ascent from Rydal, while the spur rising over Todd Crag leads up from Clappersgate.",Visual
"Seemingly, the most obvious buyers and sellers of currency are importers and exporters of goods.",Visual
"However, there were also other groups like Groupe G which had no obvious political affiliation.",Visual
The patient with the latter carries an obvious stigma as the one less likely to be fully rehabilitable for social usefulness.,Visual
"A number of additional lamps were supposed to accompany each gang of men, but restricting the number was an obvious economy for the pit owners.",Visual
Show More Sentences,Visual
"As he climbed into the car, his recce of the space behind the seats was still a little too obvious despite best efforts at subtlety.",Visual
"In 1955 he had been the obvious successor to Churchill, but this time there was no clear heir apparent.",Visual
"Homelessness was the most obvious effect of the housing shortage, though it was hard to define and measure in the Eastern Bloc.",Visual
It was made of really expensive ragbond with an obvious watermark in the lower corner and sealed with old fashioned sealing wax.,Visual
"On such grounds, there are obvious benefits for the disclosure of reasons for decisions.",Visual
The press is overstepping in every direction the obvious bounds of propriety and of decency.,Visual
"An obvious example is the fact that land is immovable, and thus the rules that govern its use must differ.",Visual
"But there are crimes without an act, and therefore without an actus reus in the obvious meaning of that term.",Visual
"For instance, in the phrase, It is obvious that the violence will continue, it is a dummy pronoun, not referring to any agent.",Visual
All Ulster English has more obvious pronunciation similarities with Scottish English than other Irish English dialects.,Visual
"In addition, the vowels of Received Pronunciation are commonly divided into short and long, as obvious from their transcription.",Visual
"In modern dialects, the most obvious manifestation is a levelling of the past tense verb forms was and were.",Visual
"Other obvious examples are Nonnus' Dionysiaca, Tulsidas' Sri Ramacharit Manas.",Visual
One of the most obvious changes currently occurring is the change in the relative global population distribution between countries.,Visual
"The physical would be obvious as the challenge to overcome capacity, lack of ship room, and food.",Visual
"As a prey species, a sheep's system is adapted to hide the obvious signs of illness, to prevent being targeted by predators.",Visual
No historian or linguist has ever analyzed this explanation as anything more than an obvious joke.,Visual
"Reapportionment made obvious the need for other changes to county structure, leading to the legislature passing the constitutional amendment.",Visual
The incubation period between contraction and the first obvious symptoms of the disease is around 12 days.,Visual
It is obvious that with it the principle of induction would lose its predictional value.,Visual
Show More Sentences,Visual
"Alexander had no obvious or legitimate heir, his son Alexander IV by Roxane being born after Alexander's death.",Visual
"This binding then sets off a chain of events that can be visibly obvious in various ways, dependent upon the test.",Visual
Nutritional factors are the strongest and most obvious environmental factors affecting timing of puberty.,Visual
"Despite this seemingly obvious partisan style of writing, much of what is said can go under the radar, which is as Tacitus wanted things to be.",Visual
"While it is obvious that Caesar used this account for his own gain, it is not to say that the De Bello Gallico is at all unreliable.",Visual
They had watches that said Gucci or Rolex on them even though it was obvious they'd come straight here from some pirate factory in China.,Visual
"Without this conditioning environment, the cause of the alternation was no longer obvious to native speakers.",Visual
"However it was obvious that radical economies would be necessary, and the IoWR lacked any reserve fund to pay for renewals.",Visual
"In conclusion, the strategic importance of this height was so obvious it must be presumed that it has always been inhabited.",Visual
"Most obvious are the stark contrasts between white and black Brazilians in media, government, and private business.",Visual
The obvious answer as to why a sailor would become a pirate is for the potentially enormous monetary gain.,Visual
In the cutting one can also see the abrupt and obvious transition into the Peninsula Formation above it.,Visual
"In his subsequent lengthy description, Morrell does not mention the island's most obvious physical feature, its permanent ice cover.",Visual
"The oystercatchers are large, obvious and noisy wading birds with strong bills used for smashing or prising open molluscs.",Visual
"Hammond's Fiat was voted the best by both Clarkson and May, to Hammond's obvious surprise.",Visual
This was an advantage because since it was less extensive it formed a less obvious target for enemy force to be directed against.,Visual
"This may have been done with the aim of steering her youngest son, with no obvious inheritance, towards a future ecclesiastical career.",Visual
It was now obvious that we were confronted by a large portion of the English fleet.,Visual
The most obvious theme relating to British Railways was the decline of steam locomotion and its replacement with diesels.,Visual
A paraconformity is a type of disconformity in which the separation is a simple bedding plane with no obvious buried erosional surface.,Visual
Show More Sentences,Visual
"Humpbacks can easily be identified by their stocky body, obvious hump, black dorsal coloring and elongated pectoral fins.",Visual
The most obvious consequences are human injury or death and reduced coastal tourism.,Visual
"The symmetry is not obvious in the living animal, but is easily visible in the dried test.",Visual
"It was an obvious foul, the referee quickly entered the ring and disqualified Driscoll.",Visual
"While many films are not as obvious as Disney fairy tales, the plots of many films are based on the rough structure of myths.",Visual
"Despite this, calques exist in Manx, not necessarily obvious to its speakers.",Visual
Merthyr needed a coastal export point for its iron and Cardiff was the obvious choice being at the mouth of the River Taff.,Visual
"Since World War II, smoking has gradually become less frequent on screen as the obvious health hazards of smoking have become more widely known.",Visual
It is not obvious why this name was used as it is a long way from the territories of the two Cornovii tribes.,Visual
A general increase in all classes of nonbreeding seals is perhaps the most obvious comparative result of the census.,Visual
In this case it is obvious that they want to emphasize the change of regime they pretend to introduce.,Visual
"Among the nobility there were many educated and cultured women, of which Queen Mary is the most obvious example.",Visual
"At this time it was thought that Queen Yolande was pregnant, so that Margaret was not yet the obvious successor.",Visual
The obvious difference between courtly dance and common folk dance traditions is the most evident in Javanese dance.,Visual
Thus it is obvious that the clergy were at least present in brothels at some point or another.,Visual
"Strictly speaking, the fielding side must appeal for all dismissals, including obvious ones such as bowled.",Visual
The argument is that the existence of God can be proved by the design that is obvious in the complexity of the world.,Visual
"The obvious inference was that myxoedema, goitre and cretinism were due to thyroid failure.",Visual
"While recognising the boy's obvious musical talent, his father knew the insecurity of a musical career and discouraged him from pursuing it.",Visual
"While this may not be so obvious in Service's English verse, which is Kiplingesque, it is more readily apparent in his Scots verse.",Visual
Democratic politics are the accumulation of a great many small decisions and actions that will accrue to what seems a big picture.,Visual
"Then there was an event, an HRC event, and I took a picture with Monique, the actress and comedian.",Visual
"The agglomeration of data, however, is not offering a clear picture to economists and policymakers who yearn for one.",Visual
"So far, national Democrats are staying out of the picture and letting Aiken make up his mind.",Visual
The study paints a bleak picture of the effects of pollution on animal life.,Visual
"Klein paints a rosy picture of the charter schools, while admitting that not all outperformed traditional public schools.",Visual
The 1989 picture is remembered for the acclaimed Disney family film that it is.,Visual
"The one she picked out was a beauty, a big one, an A-frame with picture windows for the New West view.",Visual
That was accomplished by cops such as the one whose picture was clutched so tightly by his widow on Sunday.,Visual
Of equal interest is the picture writing especially well developed among the Chippewas and Delawares.,Visual
The existence of this distant branch creates a much more complex picture of humankind during the Late Pleistocene than previously thought.,Visual
The picture of Elizabeth painted by her Protestant admirers of the early 17th century has proved lasting and influential.,Visual
"Sorry so jakun, need to post a picture of my Uber because it looks like a Bentley.",Visual
The picture was of a planned shoe line that Adidas intended to release in July.,Visual
"There is usually a piece of metal that forms the back of the lamp, which has a picture of a Hindu deity embossed on it.",Visual
"No photographist can picture them, no words can describe them, no fancy can sketch them.",Visual
We have the power of altering and compounding those images into all the varieties of picture.,Visual
"The accounts by the Imperial Church historians differ in several details, but the general picture is similar.",Visual
"You can't just look at the election, you've got to look at the big picture.",Visual
He states the book was meant to give a true picture of life in the community in the early decades of the 20th century.,Visual
Show More Sentences,Visual
"Some pictorial evidence, most notably that of the picture stones, intersect with the mythologies recorded in later texts.",Visual
The boy was ill and Potter wrote him a picture and story letter to help him pass the time and to cheer him up.,Visual
Displaying images on a form is very simple with a picture box. Just set the image property to a file on your hard drive.,Visual
"First, we'll look at a simplified picture of how the pressure gradient and Coriolis forces affect an air parcel high above the ground.",Visual
It is the picture of a farmer and his son standing against the backdrop of an empty wooden corncrib.,Visual
"This is in contrast to the brand image, which is a customer's mental picture of a brand.",Visual
"According to Kimberly Kagan, his accounts of battles emphasize the experience of the soldiers but at the cost of ignoring the bigger picture.",Visual
Albert Einstein kept a picture of Newton on his study wall alongside ones of Michael Faraday and James Clerk Maxwell.,Visual
"Albert Einstein kept a picture of Faraday on his study wall, alongside pictures of Isaac Newton and James Clerk Maxwell.",Visual
The picture we get of a pragmatic gradualist rather than a fierce logic chopper makes him a more human and understandable character.,Visual
The letter of Arian Auxentius regarding the Arian missionary Ulfilas gives a picture of Arian beliefs.,Visual
"When the information from various sources are put together, a picture of a diverse cuisine emerges, with lots of different ingredients.",Visual
I'm interested in the brutal and violent nature of man because it's a true picture of him.,Visual
"Photography, and the motion picture as both a technology and basis for entirely new art forms were also developed in the West.",Visual
"We may picture Vesal's impatience waiting the end of these divagating sessions, the final cautions against mistaking a julep for an apozene!",Visual
"What will be given is a composite picture, based on working with a great many Plutonians over the years.",Visual
"In the picture, Nevsky used a number of Russian proverbs, tying Nevsky firmly to Russian tradition.",Visual
This account of his journeys provides a picture of medieval civilization that is still widely consulted today.,Visual
"A picture of the good professor with a pope hat on came up, to some polite laughter.",Visual
"Luther in popular memory had become a saint, his picture capable of saving houses from burning down, if it was fixed to the parlour wall.",Visual
Show More Sentences,Visual
The science of genetic anthropology is changing very fast and a clear picture across the whole of human occupation of Britain has yet to emerge.,Visual
"The collection includes family histories, a library, and a picture archive.",Visual
The title page now included a picture of Hondius and Mercator together although they had never met.,Visual
It was a pleasure to talk to a movie producer who wasn't crying in his beer over what the European war has done to the picture business.,Visual
"Compositions based on a diagonal across the picture space became popular, and water often featured.",Visual
The blue pigment used by the artist has faded badly since the picture was painted.,Visual
There is at least a tinge of truth in that picture of Southern England as one enormous Brighton inhabited by lounge-lizards.,Visual
"For purposes of illustrating a lecture on calisthenics, a stick figure is a better picture of a squatting man than something from the Louvre.",Visual
This is a simplified picture of the changes that happened between late Middle English and today's English.,Visual
"The numerous picture plates added to the book's appeal and usefulness, particularly when pertaining to things found in nature.",Visual
"Carey was formulating a picture of this little cuntling who she called Heather in his mind's eye, and it was none too flattering.",Visual
"The head noun picture has the four dependents the, old, of Fred, and that I found in the drawer.",Visual
"They are both in my judgment the image or picture of a great Ruine, and have the true aspect of a World lying in its rubbish.",Visual
Kumud Mookerji states that the text may be a picture of actual conditions in Kautilya's times.,Visual
"Although many of the accounts and studies differ in detail, and present a somewhat confusing picture overall, the outline is clear.",Visual
This picture was subsequently published showing the South transept alight with a list of North Yorkshire firefighters attending.,Visual
When he reawoke he felt for a second as though he were part of a surrealistic picture. He was sitting alone in an aeroplane ready to take off.,Visual
"Leonardo da Vinci drew a picture of the flyer, which twists the yarn before winding it onto the spindle.",Visual
Other military institutions completed the picture of the garrison town that Woolwich had become in the early 19th century.,Visual
"If a picture is daubed with many bright and glaring colours, the vulgar admire it as an excellent piece.",Visual
Show More Sentences,Visual
"Unsurprisingly, if modern man is a sort of camera, modern woman is a picture.",Visual
"The oldest surviving ballad, Robin Hood and the Monk, gives even less support to the picture of Robin Hood as a partisan of the true king.",Visual
"Buddhist texts reflect this tendency, providing a clearer picture of what Gautama may have taught than of the dates of the events in his life.",Visual
Proponents long have urged that these repayables be taken out of the picture of government's running expenses.,Visual
Johnny Jack's wife and family were either dolls in a model house or sometimes a picture.,Visual
Ennerdale Water and Crummock Water are in view and careful steps toward the brink can also add Bleaberry Tarn to the picture.,Visual
"The foreground picture revolves around Innominate Tarn, lying in full view to the east.",Visual
"From this time, Holbein's art was also prized in the Netherlands, where the picture dealer Michel Le Blon became a Holbein connoisseur.",Visual
It is likely that the picture was cut down at some time as it was unusual to stop just below the knee.,Visual
The Netherlandish painters did not approach the creation of a picture through a framework of linear perspective and correct proportion.,Visual
"In this dramatic picture, the nation is literally decimated, and even the tenth which remains is subjected to a further destruction.",Visual
"The condition of the Creeks and Cherokees, to which I have already alluded, sufficiently corroborates the truth of this deplorable picture.",Visual
The folder was then put into a slipcase decorated with a picture of Alice on the front and the Cheshire Cat on the back.,Visual
"In 1958 she produced two annuals featuring the character, the first of which included twenty short stories, poems and picture strips.",Visual
"The picture is then filled in with natural materials, predominantly flower petals and mosses, but also beans, seeds and small cones.",Visual
"Rory McIlroy looked downcast... his body language saying it all, head down and shoulders slumped, he is a picture of bitter disappointment.",Visual
"He put the picture in the scanner, then e-mailed a copy of it to his family.",Visual
This box has an assortment of chocolates. There's a picture on the cover so you know which is which.,Visual
Ushers announced movie showtimes from the moment the A picture started because the wraparound material was simply not the main attraction.,Visual
Bill Poon in California got dooced from a burger joint when he posted a picture of his boss on MySpace.,Visual
Show More Sentences,Visual
He should be willing to be utilised and wholly integrated into the picture by the director and the camera.,Visual
"Poetry is an art of time. We cannot read it backwards, or to and fro, or round and round like sculpture or a picture.",Visual
The strange man with the large head spooked me out so much until I realized it was only a picture.,Visual
I took refuge in the square form and exhibited a picture which consisted of nothing more than a black square on a white field.,Visual
By this we mean each song first must be stageworthy and then must add to the picture of yourself which you are trying to paint for your audience.,Visual
"He was a perfectionist, and his financial independence enabled him to spend years on the development and production of a picture.",Visual
"There's nothing more annoying than taking a great picture, only to find that the horizon isn't straight.",Visual
"Craig is her small-time dealer so he, Sharon and James have a clear picture of her drug patterns.",Visual
In the motion picture The Godfather gangster Virgil Sollozzo took care of Luca Brasi by having him strangled.,Visual
"He was not used in a picture until late January, during which time Chaplin attempted to learn the processes of filmmaking.",Visual
Try to picture the governor twirling a towel at an aggie game.,Visual
"During the filming of his eleventh picture, Mabel at the Wheel, he clashed with director Mabel Normand and was almost released from his contract.",Visual
"Having fulfilled his First National contract, Chaplin was free to make his first picture as an independent producer.",Visual
"City Lights had been a success, but Chaplin was unsure if he could make another picture without dialogue.",Visual
"He personally edited all of his films, trawling through the large amounts of footage to create the exact picture he wanted.",Visual
"In addition, the picture earned Satellite, Golden Globe, and European Film Award nominations for Mirren.",Visual
"A sound film is a motion picture with synchronized sound, or sound technologically coupled to image, as opposed to a silent film.",Visual
"It was a double system, that is, the sound was on a different piece of film from the picture.",Visual
"If proper synchronization of sound and picture was achieved in recording, it could be absolutely counted on in playback.",Visual
"The tests were convincing to the Warner Brothers, if not to the executives of some other picture companies who witnessed them.",Visual
Show More Sentences,Visual
"Soon after he saw it, Walt Disney released his first sound picture, the Mickey Mouse short Steamboat Willie.",Visual
"Everyone was so nicely dressed up for the wedding, I couldn't resist taking a picture.",Visual
The motion picture business would command similar figures for the next decade and a half.,Visual
"Hey, he took a lot of time to paint that picture for us. I think we should at least pretend it doesn't smell like a load of Bandini.",Visual
"Premiering in Paris in April 1931 and New York a month later, the picture was both a critical and popular success.",Visual
"The succeeding three motion picture adaptations followed suit in financial success, while garnering positive reviews from fans and critics.",Visual
"She sits enrapt as Shakespeare turns the kaleidoscope of life for her, or stands enthralled by Victor Hugo's picture of the human soul.",Visual
His motion picture debut was in Ridley Scott's 2001 action film Black Hawk Down.,Visual
"Milne's widow, Daphne Milne, also licensed certain rights, including motion picture rights, to Disney.",Visual
Another manuscript of the same century has a crude but spirited picture which brings us into close touch with the existing game.,Visual
A picture of the Victoria Tower features on the New Zealand wine Castle Hill.,Visual
"Even after Perry faded out of the picture, the coaches there must have kept using him as a model.",Visual
"Millais painted the picture in Hayes, Kent, from a local oak tree that became known as the Millais Oak.",Visual
"And in the background of the picture, just out of focus behind the man, was a soaring minaret outlined against a shockingly blue sky.",Visual
The book evokes a detailed and lively picture of what life was like in the 19th century.,Visual
"Hollywood, a northern district of Los Angeles, California, is one of the leaders in motion picture production.",Visual
"The world's first commercial motion picture exhibition was given in New York City in 1894, using Thomas Edison's Kinetoscope.",Visual
"Lucia del Monte, in that city he painted a picture representing Pope St. Pasquale, a great church-builder and exhumer of holy corpses.",Visual
"Although the overall picture for the British economy in the 1930s was bleak, the effects of the depression were uneven.",Visual
And the girl's fate he could picture as plainly as though he were an eyewitness to it.,Visual
Show More Sentences,Visual
The connection to angular momentum suggests the picture of an assembly of microscopic current loops.,Visual
"When your picture flipples, it could be that 30 roaches are on a treadmill doing their exercises.",Visual
Don Torrey gives the picture originally of a shaggy-headed footballish fellow making a slave of the old piano.,Visual
"And on the second OOOOOOO, you picture just a naked glowing green skull that hangs there vibrating gape-mouthed in a prison cell.",Visual
"At the end of the 17th century, the picture we have of Lewis that of a people pursuing their avocation in peace, but not in plenty.",Visual
Everybody can geolocalize a picture on Google Earth and share this picture with other people on the Web.,Visual
"It was adapted into a major motion picture released in 1946, then again in 1984 starring Bill Murray.",Visual
"Nevertheless, mentions of his early life and extended family paint a loose biographical picture of the detective.",Visual
"His features are presented in Mr Nasmyth's picture but to me it conveys the idea that they are diminished, as if seen in perspective.",Visual
His book paints a gloomy picture of the prospects for peace.,Visual
The Diploma contains a picture and text that states the name of the laureate and normally a citation of why they received the prize.,Visual
These letters give a picture of life in Wales during the period and the comments of these two literary giants on events at home and abroad.,Visual
"Nice picture. I love the details on everything, and the shading is wonderful. He's very murr.",Visual
Najder warns that this approach produces an incoherent and misleading picture.,Visual
"In England I was all the time building up this picture in my head, an imaginary Japan.",Visual
"According to Blake, he chose all of the objects in the picture at random, but the sleeves of Sgt.",Visual
"The film was Robert De Niro's first motion picture, and the first film in the United States to appeal an X rating.",Visual
"Get the picture? In one corner Charles Edward Russell, champion muckrake pugilist of the world.",Visual
"People who downloaded the files could then print and assemble the piece, and thus own an original Gilbert and George picture for free.",Visual
Alec and Rob handed her their leather bifolds containing their picture identification with their badges pinned inside.,Visual
Show More Sentences,Visual
"In Goldwyn's drawing room, Niven noticed a picture of himself in uniform which he had sent to Goldwyn from Britain during the Second World War.",Visual
"In happier times with Goldwyn, he had observed this same picture sitting on Goldwyn's piano.",Visual
"Okay, now just picture what you want to pull out of hammerspace and just reach in and grab it.",Visual
"Key selling points were the improvement in picture and sound quality, increased number of channels and an interactive service branded Open.",Visual
"However, even in this case, Sky does not carry any control over the channel's content or carriage issues such as picture quality.",Visual
"Wollstonecraft contrasts her utopian picture of society, drawn with what she says is genuine feeling, to Burke's false feeling.",Visual
A 1645 picture map of the Siege of Duncannon shows Preston's Irish Confederates under a saltire.,Visual
"For travel outside the EU, Slovak citizens may also require a passport, which is a legally accepted form of picture ID as well.",Visual
"It was not what you would picture as a typical meeting with a naval officer. In fact, it was about as navy as an Abbott and Costello movie.",Visual
"The Pakistani building of the border crossing, with a picture of Muhammad Ali Jinnah in the top.",Visual
"A special conference decided that support could be given to either ILP or SDF candidates, which brought a further four contests into the picture.",Visual
"When extinct plants are taken into account, the picture is slightly altered.",Visual
This picture shows several glaciers that have the same shape as many features on Mars that are believed to also be glaciers.,Visual
Our picture of Precambrian marine diversity is dominated by small fossils known as acritarchs.,Visual
"As with all models, this is an idealized picture of population change in these countries.",Visual
"I do not care whether it is placed or not, if I get my stuff to that ship. Now, it is my job to look at the big picture.",Visual
The picture of a blanched and ringleted Boy George on the cover had been taken by Russell.,Visual
"It seems likely though, that something of the Manichean and Bogomilist attitude toward dead bodies enters into the picture.",Visual
He convinced the shipowner who had bought his Royal Academy picture to let him sail on a freighter to Istanbul.,Visual
The emerging picture of acanthodian paraphyly does not overturn a general consensus about gnathostome interrelationships.,Visual
Show More Sentences,Visual
The mental picture imprinted on the bodily organ is the final product of the entire process of sense perception.,Visual
"Over 88 percent said the picture quality improved, while 70 percent said the sound quality was better.",Visual
"In contrast, a moderately weak digital signal and a very strong digital signal transmit equal picture quality.",Visual
"Anyway, Margiotti found the guard and showed him the picture. He ID'ed it. Sort of. It was dark.",Visual
Brook asked the actors to find a way of communicating the idea of this picture to a blind Chineseman.,Visual
"Its purpose was to allow voltage levels to stabilise in older televisions, preventing interference between picture lines.",Visual
The advantage of this scheme is that the U and V signals are zero when the picture has no color content.,Visual
"Despite this, we are still able to illustrate a clear picture of what military medicine was like during the reign of the Roman Empire.",Visual
Archaeology gives a different settlement picture to that indicated by the South Saxon foundation story.,Visual
"Charcot later gave the classical picture of incoordination, tremor and nystagmus.",Visual
"We must not represent God by any picture or image, even in imagination, for to do so is to deny his incorporeity and incomprehensibility.",Visual
The innocuous trauma of high pressure jets and bubble massage to the insensate breast and back areas had caused the bruising seen in the picture.,Visual
"He painted a chocolate-box picture for the Salon, entered it, was admitted.",Visual
"By mid-2004, confident that deflation was out of the picture, the Fed began raising rates again.",Visual
"Within a year, his scientists had worked out a system that virtually elbowed CBS out of the picture.",Visual
Magda devoting her life to good works seemed altogether out of the picture!,Visual
"It is the witness to your state of mind, the outside picture of an inward condition.",Visual
He took a close-range picture of the wrestlers to try to capture the energy.,Visual
"He took two bottles, one of which held an ovaline pill that was faintly pink and bore a label on it with a picture of the moon.",Visual
"He meant the four other young faces in the picture, two bare-footed girls and a pair of overalled boys.",Visual
Show More Sentences,Visual
"However, his last work, a picture of a council of war presided over by the admiral, was recovered almost undamaged.",Visual
"In the picture Miss Elizabeth showed me the croc had little piggy eyes, not huge owly ones.",Visual
Liddell Hart interviewed many of the generals after the war and put together a picture of Hitler's strategic thinking on the matter.,Visual
From the above it is apparent that the clinical picture of achylia gastrica does not suffice to establish the diagnosis of anadenia ventriculi.,Visual
"On 31 August 1933, Alexander Dahl took the first picture of the Earth's curvature in an open hydrogen gas balloon.",Visual
Now picture them hanging from a ceiling in a bizarre cobweblike environment.,Visual
The stereotypical image of ferns growing in moist shady woodland nooks is far from a complete picture of the habitats where ferns can be found growing.,Visual
A similar picture of shattered Lebanese politics lacking vigor and authenticity under the Assadian tyranny characterized the 1996 parliamentary elections.,Visual
"I know what picture yer referring to, but I didn't have a problem with that because the fundamentals of reactance have been in my beaner since I was a teen.",Visual
"And Gary never got to see him do the full catloaf, where he curled up face-down so that all that stuck out were the tips of his ears. I never got a picture of that, either.",Visual
"Marvailing, he coaled out rhimes upon the wall, near to the picture.",Visual
"Such a crosslight emphasizes and defines the forms of trees, buildings, hills and valleys and produces a picture with strong contrasts of darkagainst-light.",Visual
"If local findings, the absence of peritonitis, and the clinical picture permit it, cases of this type can be managed by a radical curvative or palliative resection.",Visual
"Then as you're taking his picture, say something about the thirty dingers he's going to hit this season. You get that little extra smile on his face.",Visual
"Russ tipped the magazine slightly to reduce the glare from the lamp. The dishwater blond in the picture smiled at him, Russ thought, in just the right way.",Visual
"We derive an explicit rule for when eikonalization is valid, and provide a direct connection to the picture of multiple Wilson lines crossing a shockwave.",Visual
It takes more than a picture in a girlie magazine for me to get off.,Visual
"Therefore, on the understanding that the essence of the bourgeois economy will be absent from the picture, we may call this system Guided Capitalism.",Visual
The early picture of the Indus civilization was largely based on what was revealed by excavations in the two great cities of Mohenjo-daro and Harappa.,Visual
"Change Thackeray's spirited devil into a dancing skeleton with an answering grin, and you have a picture that would fit into a medieval, or Holbeinian, Dance of Death.",Visual
Show More Sentences,Visual
"Bede painted a highly optimistic picture of the current situation in the Church, as opposed to the more pessimistic picture found in his private letters.",Visual
"In most of his writings he keeps to a chronological narrative order, only seldom outlining the bigger picture, leaving the reader to construct that picture for himself.",Visual
"In its preface, he argued that Zosimus' picture of Constantine was superior to that offered by Eusebius and the Church historians, offered a more balanced view.",Visual
"Russell trusted the IPMs to give a true picture of the national average, because he assumed death rates to be relatively equal across the social spectrum.",Visual
"Students with intellectual disabilities, such as reading or developmental disabilities, may be given picture cues of certain emotions to match with nature.",Visual
"The Henry that many people picture when they hear his name is the Henry of his later years, when he became obese, volatile, and was known for his great cruelty.",Visual
"Hearing that his wife was posing in the altogether for the great Spanish satirist, the Duke of Alba swore that he would paint Goya's picture in Goya's blood.",Visual
"At the bottom of the picture members of the House of Commons can be seen at the Bar to the House, with the Speaker in the centre, wearing his black and gold robe of state.",Visual
"Montague could picture the grim, hawk-faced old man, sitting at the head of the council board, and laying down the law to the masters of the Metropolis.",Visual
"This monstrous parody of divine compassion... performs, in the presence of moving picture cameras, a grotesque parody upon the laying on of hands and the healing of the sick.",Visual
"The older view of Mesolithic Britons as nomadic is now being replaced with a more complex picture of seasonal occupation or, in some cases, permanent occupation.",Visual
"Then again, if it hadn't been for that unattractive yearbook picture, I wouldn't have realized how crazy I looked long jumping and thus I would not have improved my technique.",Visual
